word,part,n_senses,colour,colour_mismatch,stopword,freq_in_defs,n_reduplicated,definition,graphemes,graphemes_rev,graphemes_n,start,end,words_in_def,word_length,def_sj,def_k,def_e,def_i,def_a,def_hh,def_bu,def_p,def_q,def_cj,def_r,def_y,freq_group,colour_hex
aiugf,i.,1,blue,0,0,0,0,i. oley el je tlah f lela belu je kyso. taar yra ji. am deaw je xgf. auin jel ji.,ai u g f,f g u ai,4,ai,f,19,5,,,,oley el je tlah f lela belu je kyso. taar yra ji. am deaw je xgf. auin jel ji.,,,,,,,,,0-1,#6495ED
aizsuda,sj.,1,blue,0,0,1,0,sj. kyin aa toy f zuf z ging.,ai z su da,da su z ai,4,ai,da,7,7,kyin aa toy f zuf z ging.,,,,,,,,,,,,0-1,#6495ED
aizt,sj.,1,blue,0,0,1,0,sj. tair vzt.,ai z t,t z ai,3,ai,t,2,4,tair vzt.,,,,,,,,,,,,0-1,#6495ED
aje,cj.,1,orange,0,1,3,0,cj. subtatef je.,a je,je a,2,a,je,2,3,,,,,,,,,,subtatef je.,,,>1,#FFA500
aka,sj.,1,blue,0,0,11,0,sj. akerux ee akcxa.,a ka,ka a,2,a,ka,3,3,akerux ee akcxa.,,,,,,,,,,,,>1,#6495ED
akabk,sj.,1,blue,0,0,0,0,sj. yre aka l ppsux ji. yre aka el l btebe kap bek ji. aka yk ahk vs aka btebe f zkehu ji.,a ka b k,k b ka a,4,a,k,22,5,yre aka l ppsux ji. yre aka el l btebe kap bek ji. aka yk ahk vs aka btebe f zkehu ji.,,,,,,,,,,,,0-1,#6495ED
akachf,i.,1,blue,0,0,0,0,i. gudda yra ktap hji. lpupl exiex xgin yra dkdg. plahe yre gudda ktap shg. lpupl btebr shg yra dabu. oyr xgin kevin kzin.,a ka ch f,f ch ka a,4,a,f,23,6,,,,gudda yra ktap hji. lpupl exiex xgin yra dkdg. plahe yre gudda ktap shg. lpupl btebr shg yra dabu. oyr xgin kevin kzin.,,,,,,,,,0-1,#6495ED
akagata,sj.,1,blue,0,0,2,0,sj. amti ahk kyv f deda.,a ka ga ta,ta ga ka a,4,a,ta,5,7,amti ahk kyv f deda.,,,,,,,,,,,,>1,#6495ED
akcxa,sj.,1,blue,0,0,2,0,sj. laf yra cxs kat tael yra ji el yra lqa.,a k cx a,a cx k a,4,a,a,10,5,laf yra cxs kat tael yra ji el yra lqa.,,,,,,,,,,,,>1,#6495ED
akerux,sj.,1,blue,0,0,2,0,sj. laf xeli cxs.,a ke r ux,ux r ke a,4,a,ux,3,6,laf xeli cxs.,,,,,,,,,,,,>1,#6495ED
akudep,sj.,2,orange,1,0,46,1,sj. qvq z guo. k. plu guo rah in dyt.,a ku de p,p de ku a,4,a,p,8,6,qvq z guo.,plu guo rah in dyt.,,,,,,,,,,,>20,#FFA500
akydep,k.,1,purple,0,0,23,0,k. plu liuzu z guo akudep.,a k y de p,p de y k a,5,a,p,5,6,,plu liuzu z guo akudep.,,,,,,,,,,,>20,#9370DB
akyt,k.,1,purple,0,0,0,0,k. siuaa subtet ee subtat hji.,a k y t,t y k a,4,a,t,5,4,,siuaa subtet ee subtat hji.,,,,,,,,,,,0-1,#9370DB
alaw,sj.,1,blue,0,0,3,0,sj. alp kakakaw.,a la w,w la a,3,a,w,2,4,alp kakakaw.,,,,,,,,,,,,>1,#6495ED
alax,e.,1,green,0,0,1,0,e. sxuk uxauxf ging aiin.,a la x,x la a,3,a,x,4,4,,,sxuk uxauxf ging aiin.,,,,,,,,,,0-1,#228B22
alb,e.,1,green,0,0,4,0,e. uku alp. vh dku hutl vs def kakauka yra ji.,a l b,b l a,3,a,b,10,3,,,uku alp. vh dku hutl vs def kakauka yra ji.,,,,,,,,,,>1,#228B22
alex,e.,1,green,0,0,1,0,e. sxzu ging aiin.,a le x,x le a,3,a,x,3,4,,,sxzu ging aiin.,,,,,,,,,,0-1,#228B22
alfsu,sj.,1,blue,0,0,1,0,sj. pdepr aga ji ishl.,a l f su,su f l a,4,a,su,4,5,pdepr aga ji ishl.,,,,,,,,,,,,0-1,#6495ED
algin,sj.,1,blue,0,0,1,0,sj. yre alpp. kap lavit am utal. uxaux siuai ykai ehu dkdg.,a l g in,in g l a,4,a,in,11,5,yre alpp. kap lavit am utal. uxaux siuai ykai ehu dkdg.,,,,,,,,,,,,0-1,#6495ED
alih,k.,1,purple,0,0,1,0,k. pdepr hucher kyin.,a li h,h li a,3,a,h,3,4,,pdepr hucher kyin.,,,,,,,,,,,0-1,#9370DB
alip,e.,1,green,0,0,0,0,e. vs je alp ji.,a li p,p li a,3,a,p,4,4,,,vs je alp ji.,,,,,,,,,,0-1,#228B22
alp,e.,1,green,0,0,16,0,e. hucher alpu. suba heba in bteb am subb beba in bteb. kakauka vs du ju yra ji.,a l p,p l a,3,a,p,17,3,,,hucher alpu. suba heba in bteb am subb beba in bteb. kakauka vs du ju yra ji.,,,,,,,,,,>1,#228B22
alpi,a.,1,green,0,0,1,0,a. kyin f hgasi alpp.,a l p i,i p l a,4,a,i,4,4,,,,,kyin f hgasi alpp.,,,,,,,,0-1,#228B22
alpp,sj.,1,blue,0,0,12,0,sj. 1 vh sxzu subteta f vzt. 2 dust sxzu subteta vzt ji o kadu f sjlup. 3 dust suba kap kyv am subb kyv o kadu f hgasi. 4 vh wax f liuzu.,a l pp,pp l a,3,a,pp,30,4,1 vh sxzu subteta f vzt. 2 dust sxzu subteta vzt ji o kadu f sjlup. 3 dust suba kap kyv am subb kyv o kadu f hgasi. 4 vh wax f liuzu.,,,,,,,,,,,,>1,#6495ED
alpu,k.,1,purple,0,0,1,0,k. alp yra kyin.,a l pu,pu l a,3,a,pu,3,4,,alp yra kyin.,,,,,,,,,,,0-1,#9370DB
aluzui,sj.,1,blue,0,0,0,0,sj. tata z je xhjra.,a lu zu i,i zu lu a,4,a,i,4,6,tata z je xhjra.,,,,,,,,,,,,0-1,#6495ED
am,bu.,1,tan,0,1,115,0,bu. vs subtet fsa ji f subtat deqhm. alp sxresh deqhm.,am,am,1,am,,10,2,,,,,,,vs subtet fsa ji f subtat deqhm. alp sxresh deqhm.,,,,,,>20,#D2B48C
amaze,sj.,1,blue,0,0,0,0,sj. plato aiqr f sjlup.,am a z e,e z a am,4,am,e,4,5,plato aiqr f sjlup.,,,,,,,,,,,,0-1,#6495ED
ami,e.,1,green,0,0,0,0,e. axuax amsht je ji el je in laf ishl.,am i,i am,2,am,i,9,3,,,axuax amsht je ji el je in laf ishl.,,,,,,,,,,0-1,#228B22
amka,k.,1,purple,0,0,0,0,k. uzuini belu je tacx am vk khjla thg je chsiv.,am ka,ka am,2,am,ka,10,4,,uzuini belu je tacx am vk khjla thg je chsiv.,,,,,,,,,,,0-1,#9370DB
amsht,sj.,1,blue,0,0,9,0,sj. vk subt vt alpp f bzui f zuf z vzt.,am sh t,t sh am,3,am,t,10,5,vk subt vt alpp f bzui f zuf z vzt.,,,,,,,,,,,,>1,#6495ED
amtai,sj.,1,blue,0,0,1,0,sj. suba kysi o qah ubva kadu f yra.,am ta i,i ta am,3,am,i,8,5,suba kysi o qah ubva kadu f yra.,,,,,,,,,,,,0-1,#6495ED
amter,k.,1,purple,0,0,0,0,k. ju oraux aoliga.,am te r,r te am,3,am,r,3,5,,ju oraux aoliga.,,,,,,,,,,,0-1,#9370DB
amti,sj.,1,blue,0,0,1,0,sj. alfsu ahk f yra. akudep ahk kyso f yra.,am t i,i t am,3,am,i,9,4,alfsu ahk f yra. akudep ahk kyso f yra.,,,,,,,,,,,,0-1,#6495ED
amx,e.,1,green,0,0,3,0,e. rali aoer ee guo hji.,am x,x am,2,am,x,5,3,,,rali aoer ee guo hji.,,,,,,,,,,>1,#228B22
aoer,sj.,1,blue,0,0,3,0,sj. yra z guo f lavit lela ahk tky f cxla pdepr z lela.,ao er,er ao,2,ao,er,13,4,yra z guo f lavit lela ahk tky f cxla pdepr z lela.,,,,,,,,,,,,>1,#6495ED
aohh,bu.,1,tan,0,0,6,0,bu. ju sxresh sxresh kap kaish.,ao hh,hh ao,2,ao,hh,5,4,,,,,,,ju sxresh sxresh kap kaish.,,,,,,>1,#D2B48C
aohj,sj.,1,blue,0,0,1,0,sj. axuaxf yele vh vzt in sjlup.,ao hj,hj ao,2,ao,hj,6,4,axuaxf yele vh vzt in sjlup.,,,,,,,,,,,,0-1,#6495ED
aohjg,hh.,1,green,0,0,3,0,hh. 1 vs ju yra sxk erisula yra kadu. 2 dest in dast ju yra kyv o yra kyv.,ao hj g,g hj ao,3,ao,g,17,5,,,,,,1 vs ju yra sxk erisula yra kadu. 2 dest in dast ju yra kyv o yra kyv.,,,,,,,>1,#228B22
aohucx,e.,1,green,0,0,3,0,e. uxaux ging shlp.,ao hu cx,cx hu ao,3,ao,cx,3,6,,,uxaux ging shlp.,,,,,,,,,,>1,#228B22
aohz,bu.,1,tan,0,0,3,0,bu. dust tair subtet ji o tae ehut subtat ji.,ao h z,z h ao,3,ao,z,9,4,,,,,,,dust tair subtet ji o tae ehut subtat ji.,,,,,,>1,#D2B48C
aok,k.,1,purple,0,0,4,0,k. 1 ging shlp. 2 vh cxhht vk ju yra vt yra kyv.,ao k,k ao,2,ao,k,11,3,,1 ging shlp. 2 vh cxhht vk ju yra vt yra kyv.,,,,,,,,,,,>1,#9370DB
aokai,e.,1,green,0,0,1,0,e. belu asj am hhk f akudep.,ao ka i,i ka ao,3,ao,i,6,5,,,belu asj am hhk f akudep.,,,,,,,,,,0-1,#228B22
aokasx,sj.,2,orange,1,0,4,0,sj. yra qrfde hucher in sxresh. bu. qrfde deqhm deqhm.,ao ka sx,sx ka ao,3,ao,sx,8,6,yra qrfde hucher in sxresh.,,,,,,qrfde deqhm deqhm.,,,,,,>1,#FFA500
aol,e.,1,green,0,0,1,0,e. hhk axhk.,ao l,l ao,2,ao,l,2,3,,,hhk axhk.,,,,,,,,,,0-1,#228B22
aoley,e.,1,green,0,0,0,0,e. subt dvt lpubel subtat ahk vztu f oley.,ao le y,y le ao,3,ao,y,8,5,,,subt dvt lpubel subtat ahk vztu f oley.,,,,,,,,,,0-1,#228B22
aoliga,k.,1,purple,0,0,2,0,k. suba hkdg am subb dkdg. rak.,ao li ga,ga li ao,3,ao,ga,6,6,,suba hkdg am subb dkdg. rak.,,,,,,,,,,,>1,#9370DB
aosiple,a.,1,green,0,0,5,0,a. vh uxaux vzt.,ao si p le,le p si ao,4,ao,le,3,7,,,,,vh uxaux vzt.,,,,,,,,>1,#228B22
aoxh,bu.,1,tan,0,0,0,0,bu. xzt tair subtet pji o elau subtat ji.,ao x h,h x ao,3,ao,h,8,4,,,,,,,xzt tair subtet pji o elau subtat ji.,,,,,,0-1,#D2B48C
aozh,bu.,1,tan,0,0,12,0,bu. tae ehut subtet ji dust tair subtat ji.,ao z h,h z ao,3,ao,h,8,4,,,,,,,tae ehut subtet ji dust tair subtat ji.,,,,,,>1,#D2B48C
aozra,sj.,1,blue,0,0,2,0,sj. belu je jajije f lava lela.,ao z ra,ra z ao,3,ao,ra,6,5,belu je jajije f lava lela.,,,,,,,,,,,,>1,#6495ED
apda,sj.,1,blue,0,0,3,0,sj. vh lap f deda in sxresh.,a p da,da p a,3,a,da,6,4,vh lap f deda in sxresh.,,,,,,,,,,,,>1,#6495ED
apu,q.,1,tan,0,0,5,0,q. pu lela.,a pu,pu a,2,a,pu,2,3,,,,,,,,,pu lela.,,,,>1,#D2B48C
artai,sj.,1,blue,0,0,0,0,sj. amtai ahk akagata rink.,a r ta i,i ta r a,4,a,i,4,5,amtai ahk akagata rink.,,,,,,,,,,,,0-1,#6495ED
ash,sj.,1,blue,0,0,10,0,sj. l asj z gtin.,a sh,sh a,2,a,sh,4,3,l asj z gtin.,,,,,,,,,,,,>1,#6495ED
asj,k.,1,purple,0,0,69,0,k. 1 vk ja je f akudep kyv. 2 ahk yamte ew el lela chley. 3 yra belu rak.,a sj,sj a,2,a,sj,16,3,,1 vk ja je f akudep kyv. 2 ahk yamte ew el lela chley. 3 yra belu rak.,,,,,,,,,,,>20,#9370DB
asre,k.,1,purple,0,0,2,0,k. ubva kytu o lisuvai kytu.,a s re,re s a,3,a,re,5,4,,ubva kytu o lisuvai kytu.,,,,,,,,,,,>1,#9370DB
asx,k.,1,purple,0,0,28,0,k. 1 asj am axuaxf ji. 2 dust ja ee je kap utei o vh akudep z je ja alih kat ja je asj.,a sx,sx a,2,a,sx,22,3,,1 asj am axuaxf ji. 2 dust ja ee je kap utei o vh akudep z je ja alih kat ja je asj.,,,,,,,,,,,>20,#9370DB
atai,sj.,1,blue,0,0,0,0,sj. ju ja ja asj el je lqa. je ju ja hji.,a ta i,i ta a,3,a,i,11,4,ju ja ja asj el je lqa. je ju ja hji.,,,,,,,,,,,,0-1,#6495ED
atek,k.,1,purple,0,0,17,0,k. 1 sxuk taar kyin. 2 taar subb kyin.,a te k,k te a,3,a,k,7,4,,1 sxuk taar kyin. 2 taar subb kyin.,,,,,,,,,,,>1,#9370DB
auin,e.,1,green,0,0,1,0,e. kap kauin. kauin cji ji el hhg je ishl.,a u in,in u a,3,a,in,9,4,,,kap kauin. kauin cji ji el hhg je ishl.,,,,,,,,,,0-1,#228B22
axdacj,sj.,1,blue,0,0,3,0,sj. uxaux aohjg l aiqr shlup f sxgu.,ax da cj,cj da ax,3,ax,cj,7,6,uxaux aohjg l aiqr shlup f sxgu.,,,,,,,,,,,,>1,#6495ED
axgg,sj.,1,blue,0,0,8,0,sj. plu subteta guo beba f hucher.,ax g g,g g ax,3,ax,g,6,4,plu subteta guo beba f hucher.,,,,,,,,,,,,>1,#6495ED
axhk,k.,1,purple,0,0,9,0,k. 1 vk ju yra ee yra ysi hucher kytu. 2 ysi hucher yre hucher kyin.,ax h k,k h ax,3,ax,k,14,4,,1 vk ju yra ee yra ysi hucher kytu. 2 ysi hucher yre hucher kyin.,,,,,,,,,,,>1,#9370DB
axht,k.,1,purple,0,0,1,0,k. vk exiex sjlup yra axhk.,ax h t,t h ax,3,ax,t,5,4,,vk exiex sjlup yra axhk.,,,,,,,,,,,0-1,#9370DB
axi,a.,1,green,0,0,0,0,a. hhk sxi axuax.,ax i,i ax,2,ax,i,3,3,,,,,hhk sxi axuax.,,,,,,,,0-1,#228B22
axlk,k.,1,purple,0,0,1,0,k. exiex ykai subb yre sui lav deda kyin.,ax l k,k l ax,3,ax,k,8,4,,exiex ykai subb yre sui lav deda kyin.,,,,,,,,,,,0-1,#9370DB
axt,sj.,1,blue,0,0,7,0,sj. vh etela f kusxkusx sjlup z yre lela.,ax t,t ax,2,ax,t,8,3,vh etela f kusxkusx sjlup z yre lela.,,,,,,,,,,,,>1,#6495ED
axuax,hh.,1,green,0,0,38,0,hh. kap uxaux. zuf bteb.,ax u ax,ax u ax,3,ax,ax,4,5,,,,,,kap uxaux. zuf bteb.,,,,,,,>20,#228B22
axuaxf,e.,1,green,0,0,22,0,e. hgasi z l axuax dkdg.,ax u ax f,f ax u ax,4,ax,f,5,6,,,hgasi z l axuax dkdg.,,,,,,,,,,>20,#228B22
axx,k.,1,purple,0,0,3,0,k. sxuk hsj.,ax x,x ax,2,ax,x,2,3,,sxuk hsj.,,,,,,,,,,,>1,#9370DB
azui,sj.,1,blue,0,0,1,0,sj. yk vk yre lela in vk uku lela yra kysi.,a zu i,i zu a,3,a,i,10,4,yk vk yre lela in vk uku lela yra kysi.,,,,,,,,,,,,0-1,#6495ED
baali,sj.,1,blue,0,0,4,0,sj. 1 vzt z sjlup. 2 vzta sjlup gato deqhm.,ba a li,li a ba,3,ba,li,8,5,1 vzt z sjlup. 2 vzta sjlup gato deqhm.,,,,,,,,,,,,>1,#6495ED
bafta,sj.,1,blue,0,0,0,0,sj. taar in kauin ktap yk dkdg o jater in ratazee ktap hkdg.,ba f ta,ta f ba,3,ba,ta,12,5,taar in kauin ktap yk dkdg o jater in ratazee ktap hkdg.,,,,,,,,,,,,0-1,#6495ED
bakai,sj.,1,blue,0,0,1,0,sj. alp hjter kyin.,ba ka i,i ka ba,3,ba,i,3,5,alp hjter kyin.,,,,,,,,,,,,0-1,#6495ED
bakal,e.,1,green,0,0,0,0,e. blek je oly eji.,ba ka l,l ka ba,3,ba,l,4,5,,,blek je oly eji.,,,,,,,,,,0-1,#228B22
bataam,sj.,1,blue,0,0,1,0,sj. amsht kap kytu f yra lela.,ba ta am,am ta ba,3,ba,am,6,6,amsht kap kytu f yra lela.,,,,,,,,,,,,0-1,#6495ED
bazg,sj.,1,blue,0,0,0,0,sj. vk bteb guo ska.,ba z g,g z ba,3,ba,g,4,4,vk bteb guo ska.,,,,,,,,,,,,0-1,#6495ED
bcx,k.,1,purple,0,0,2,0,k. vt yra aok.,b cx,cx b,2,b,cx,3,3,,vt yra aok.,,,,,,,,,,,>1,#9370DB
beak,k.,1,purple,0,0,15,0,k. vk zucjch vt alpp yra lela kysi.,be a k,k a be,3,be,k,7,4,,vk zucjch vt alpp yra lela kysi.,,,,,,,,,,,>1,#9370DB
beax,sj.,2,orange,1,0,28,0,sj. ykai z liliax. k. hucher deqhm.,be ax,ax be,2,be,ax,5,4,ykai z liliax.,hucher deqhm.,,,,,,,,,,,>20,#FFA500
beba,k.,3,orange,1,0,40,0,k. ging ahk pdep. yra yra ji. e. ging dkdg. sj. ging ahk pdep el bteb f kusxkusx gega.,be ba,ba be,2,be,ba,16,4,ging ahk pdep el bteb f kusxkusx gega.,ging ahk pdep. yra yra ji.,ging dkdg.,,,,,,,,,,>20,#FFA500
bebak,k.,1,purple,0,0,22,0,k. beba aa fgah aa akydep.,be ba k,k ba be,3,be,k,5,5,,beba aa fgah aa akydep.,,,,,,,,,,,>20,#9370DB
begai,sj.,1,blue,0,0,1,0,sj. beba f uku vzt.,be ga i,i ga be,3,be,i,4,5,beba f uku vzt.,,,,,,,,,,,,0-1,#6495ED
behm,sj.,1,blue,0,0,0,0,sj. hmt l bebak.,be hm,hm be,2,be,hm,3,4,hmt l bebak.,,,,,,,,,,,,0-1,#6495ED
bek,k.,1,purple,0,0,3,0,k. vk lela daeif rek.,be k,k be,2,be,k,4,3,,vk lela daeif rek.,,,,,,,,,,,>1,#9370DB
belu,k.,1,purple,0,0,55,0,k. plu akudep plaf.,be lu,lu be,2,be,lu,3,4,,plu akudep plaf.,,,,,,,,,,,>20,#9370DB
berge,sj.,1,blue,0,0,0,0,sj. gebr el pvbe tkr f yre elau gega ji.,be r ge,ge r be,3,be,ge,9,5,gebr el pvbe tkr f yre elau gega ji.,,,,,,,,,,,,0-1,#6495ED
besjp,sj.,1,blue,0,0,0,0,sj. esjip l bebak.,be sj p,p sj be,3,be,p,3,5,esjip l bebak.,,,,,,,,,,,,0-1,#6495ED
bett,sj.,1,blue,0,0,3,0,sj. vk l beak f qvq f gazter.,be t t,t t be,3,be,t,7,4,vk l beak f qvq f gazter.,,,,,,,,,,,,>1,#6495ED
bevi,sj.,1,blue,0,0,0,0,sj. ktap kytu f ewer.,be v i,i v be,3,be,i,4,4,ktap kytu f ewer.,,,,,,,,,,,,0-1,#6495ED
bezt,k.,1,purple,0,0,1,0,k. vh kap ppicj f yra tata shlp aa vs laf utei aa oley akydep.,be z t,t z be,3,be,t,14,4,,vh kap ppicj f yra tata shlp aa vs laf utei aa oley akydep.,,,,,,,,,,,0-1,#9370DB
bezu,k.,1,purple,0,0,6,0,k. sxzu belu.,be zu,zu be,2,be,zu,2,4,,sxzu belu.,,,,,,,,,,,>1,#9370DB
bhh,sj.,1,blue,0,0,0,0,sj. vh subtet ee subtat ska.,b hh,hh b,2,b,hh,5,3,vh subtet ee subtat ska.,,,,,,,,,,,,0-1,#6495ED
bik,k.,1,purple,0,0,2,0,k. ysi rali sjam kyin.,b i k,k i b,3,b,k,4,3,,ysi rali sjam kyin.,,,,,,,,,,,>1,#9370DB
bipu,e.,1,green,0,0,3,0,e. xzt yra je rcxs.,b i pu,pu i b,3,b,pu,4,4,,,xzt yra je rcxs.,,,,,,,,,,>1,#228B22
bki,k.,1,purple,0,0,13,0,k. liuzu z yre deda tky. lpubal eduh sxde ji.,b k i,i k b,3,b,i,9,3,,liuzu z yre deda tky. lpubal eduh sxde ji.,,,,,,,,,,,>1,#9370DB
blek,sj.,1,blue,0,0,1,0,sj. je eji shley f lela.,b le k,k le b,3,b,k,5,4,je eji shley f lela.,,,,,,,,,,,,0-1,#6495ED
blih,e.,1,green,0,0,1,0,e. vk kytu oing hkdg.,b li h,h li b,3,b,h,4,4,,,vk kytu oing hkdg.,,,,,,,,,,0-1,#228B22
blit,k.,1,purple,0,0,9,0,k. hjter pdepr rak o iligt btebr rak.,b li t,t li b,3,b,t,7,4,,hjter pdepr rak o iligt btebr rak.,,,,,,,,,,,>1,#9370DB
