word,word_trans,part,part_trans,n_senses,colour,colour_trans,colour_mismatch,stopword,freq_in_defs,n_reduplicated,definition,chars_untranslated,translated,graphemes,graphemes_rev,graphemes_n,start,end,words_in_def,word_length,def_sj,def_k,def_e,def_i,def_a,def_hh,def_bu,def_p,def_q,def_cj,def_r,def_y,freq_group,colour_hex,eng_def_sj,eng_def_k,eng_def_e,eng_def_i,eng_def_a,eng_def_hh,eng_def_bu,eng_def_p,eng_def_q,eng_def_cj,eng_def_r,eng_def_y
ahg,,k.,,1,purple,verb/adverb/article,0,0,38,0,k. vk gudde aa shg dkdg.,15,k. (to/do) gudde aa shg dkdg.,a h g,g h a,3,a,g,5,3,,vk gudde aa shg dkdg.,,,,,,,,,,,>20,#9370DB,,(to/do) gudde aa shg dkdg.,,,,,,,,,,
ahj,,sj.,,1,blue,NOUN,0,0,3,0,sj. taar gudih kyin el shley. uku hucher hmt beba el shley.,35,sj. taar gudih kyin el shley. uku (something/anything) hmt (begin) el shley.,a hj,hj a,2,a,hj,11,3,taar gudih kyin el shley. uku hucher hmt beba el shley.,,,,,,,,,,,,>1,#6495ED,taar gudih kyin el shley. uku (something/anything) hmt (begin) el shley.,,,,,,,,,,,
ahk,,k.,,1,purple,verb/adverb/article,0,0,135,0,k. ging dkdg vk kytu.,13,k. ging dkdg (to/do) kytu.,a h k,k h a,3,a,k,4,3,,ging dkdg vk kytu.,,,,,,,,,,,>20,#9370DB,,ging dkdg (to/do) kytu.,,,,,,,,,,
ahsh,,sj.,,1,blue,NOUN,0,0,1,0,sj. ahg kytu f sxresh.,16,sj. ahg kytu f sxresh.,a h sh,sh h a,3,a,sh,4,4,ahg kytu f sxresh.,,,,,,,,,,,,0-1,#6495ED,ahg kytu f sxresh.,,,,,,,,,,,
aibesj,,sj.,,1,blue,NOUN,0,0,0,0,sj. lef jajije lpubel ash. gegagu z l uxi aie hji.,34,sj. lef jajije lpubel ash. gegagu z l uxi aie (isn't).,ai be sj,sj be ai,3,ai,sj,10,6,lef jajije lpubel ash. gegagu z l uxi aie hji.,,,,,,,,,,,,0-1,#6495ED,lef jajije lpubel ash. gegagu z l uxi aie (isn't).,,,,,,,,,,,
aidu,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. qah suba kadu am subb kap kadu.,22,k. qah suba kadu am subb (not) kadu.,ai du,du ai,2,ai,du,7,4,,qah suba kadu am subb kap kadu.,,,,,,,,,,,0-1,#9370DB,,qah suba kadu am subb (not) kadu.,,,,,,,,,,
aie,,sj.,,1,blue,NOUN,0,0,15,0,sj. dust ja je asj ee je ja asj o dust je giduh z ja yk dkdg ee ja giduh z je yk dkdg aa uxi kytu f kyv.,54,sj. dust (me) (you) asj (AND) (you) (me) asj o dust (you) giduh z (me) yk dkdg (AND) (me) giduh z (you) yk dkdg aa uxi kytu f kyv.,ai e,e ai,2,ai,e,28,3,dust ja je asj ee je ja asj o dust je giduh z ja yk dkdg ee ja giduh z je yk dkdg aa uxi kytu f kyv.,,,,,,,,,,,,>1,#6495ED,dust (me) (you) asj (AND) (you) (me) asj o dust (you) giduh z (me) yk dkdg (AND) (me) giduh z (you) yk dkdg aa uxi kytu f kyv.,,,,,,,,,,,
aige,,e.,,1,green,adjective/determiner,0,0,3,0,e. yra ahg.,4,e. (that) ahg.,ai ge,ge ai,2,ai,ge,2,4,,,yra ahg.,,,,,,,,,,>1,#228B22,,,(that) ahg.,,,,,,,,,
aiger,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. ahg je atek kat yre ginger je ji.,17,i. ahg (you) atek kat (this) ginger (you) (is).,ai ge r,r ge ai,3,ai,r,8,5,,,,ahg je atek kat yre ginger je ji.,,,,,,,,,0-1,#6495ED,,,,ahg (you) atek kat (this) ginger (you) (is).,,,,,,,,
aiguux,,sj.,,1,blue,NOUN,0,0,8,0,sj. vh oraux qatub z gega bteb f eeluz.,22,sj. (at) (read) qatub z gega bteb f eeluz.,ai gu ux,ux gu ai,3,ai,ux,8,6,vh oraux qatub z gega bteb f eeluz.,,,,,,,,,,,,>1,#6495ED,(at) (read) qatub z gega bteb f eeluz.,,,,,,,,,,,
aiin,,k.,,1,purple,verb/adverb/article,0,0,3,0,k. vk gudde aa thg dkdg f ging rak in dkdg.,27,k. (to/do) gudde aa thg dkdg f ging rak (or) dkdg.,ai in,in ai,2,ai,in,10,4,,vk gudde aa thg dkdg f ging rak in dkdg.,,,,,,,,,,,>1,#9370DB,,(to/do) gudde aa thg dkdg f ging rak (or) dkdg.,,,,,,,,,,
aik,,k.,,1,purple,verb/adverb/article,0,0,6,0,k. ju yra suba kadu o yra subb kadu.,18,k. (add/mix) (that) suba kadu o (that) subb kadu.,ai k,k ai,2,ai,k,8,3,,ju yra suba kadu o yra subb kadu.,,,,,,,,,,,>1,#9370DB,,(add/mix) (that) suba kadu o (that) subb kadu.,,,,,,,,,,
aiok,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. vh uxaux yele vzt yra suba aiqr. yra aik.,24,k. (at) uxaux yele vzt (that) suba aiqr. (that) aik.,ai o k,k o ai,3,ai,k,9,4,,vh uxaux yele vzt yra suba aiqr. yra aik.,,,,,,,,,,,0-1,#9370DB,,(at) uxaux yele vzt (that) suba aiqr. (that) aik.,,,,,,,,,,
aiqr,,k.,,1,purple,verb/adverb/article,0,0,14,0,k. vh yre sjlup o vh uxauxf vzt beba.,11,k. (at) (this) (place/direction/area) o (at) uxauxf vzt (begin).,ai qr,qr ai,2,ai,qr,8,4,,vh yre sjlup o vh uxauxf vzt beba.,,,,,,,,,,,>1,#9370DB,,(at) (this) (place/direction/area) o (at) uxauxf vzt (begin).,,,,,,,,,,
air,,sj.,,1,blue,NOUN,0,0,3,0,sj. liliax z ja.,9,sj. liliax z (me).,ai r,r ai,2,ai,r,3,3,liliax z ja.,,,,,,,,,,,,>1,#6495ED,liliax z (me).,,,,,,,,,,,
airli,,k.,,1,purple,verb/adverb/article,0,0,9,0,k. suba kytu aa subb kytu aa ehg kytu.,28,k. suba kytu aa subb kytu aa ehg kytu.,ai r li,li r ai,3,ai,li,8,5,,suba kytu aa subb kytu aa ehg kytu.,,,,,,,,,,,>1,#9370DB,,suba kytu aa subb kytu aa ehg kytu.,,,,,,,,,,
airlx,,k.,,1,purple,verb/adverb/article,0,0,5,0,k. suba kytu am subb hytu.,19,k. suba kytu am subb hytu.,ai r l x,x l r ai,4,ai,x,5,5,,suba kytu am subb hytu.,,,,,,,,,,,>1,#9370DB,,suba kytu am subb hytu.,,,,,,,,,,
aish,,sj.,,1,blue,NOUN,0,0,1,0,sj. qah z ju lela lela kadu.,10,sj. qah z (add/mix) (time) (time) kadu.,ai sh,sh ai,2,ai,sh,6,4,qah z ju lela lela kadu.,,,,,,,,,,,,0-1,#6495ED,qah z (add/mix) (time) (time) kadu.,,,,,,,,,,,
aisir,,a.,,1,green,adjective/determiner,0,0,1,0,a. asre deqhm.,5,a. asre (WORD).,ai si r,r si ai,3,ai,r,2,5,,,,,asre deqhm.,,,,,,,,0-1,#228B22,,,,,asre (WORD).,,,,,,,
aitek,,e.,,1,green,adjective/determiner,0,0,0,0,e. hhk husj. oly hhk husj. thg atek. oly thg atek. aohz je je tji. aohz ahk je ulio.,53,e. hhk husj. oly hhk husj. thg atek. oly thg atek. aohz (you) (you) tji. aohz ahk (you) ulio.,ai te k,k te ai,3,ai,k,18,5,,,hhk husj. oly hhk husj. thg atek. oly thg atek. aohz je je tji. aohz ahk je ulio.,,,,,,,,,,0-1,#228B22,,,hhk husj. oly hhk husj. thg atek. oly thg atek. aohz (you) (you) tji. aohz ahk (you) ulio.,,,,,,,,,
aitgutea,,sj.,,1,blue,NOUN,0,0,1,0,sj. ahk yra gudde brye aozh alax ji. vk gudde irli atek aozh alex ji.,43,sj. ahk (that) gudde brye aozh alax (is). (to/do) gudde irli atek aozh alex (is).,ai t gu te a,a te gu t ai,5,ai,a,14,8,ahk yra gudde brye aozh alax ji. vk gudde irli atek aozh alex ji.,,,,,,,,,,,,0-1,#6495ED,ahk (that) gudde brye aozh alax (is). (to/do) gudde irli atek aozh alex (is).,,,,,,,,,,,
aiugf,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. oley el je tlah f lela belu je kyso. taar yra ji. am deaw je xgf. auin jel ji.,40,i. oley el (you) tlah f (time) belu (you) kyso. taar (that) (is). am deaw (you) xgf. auin jel (is).,ai u g f,f g u ai,4,ai,f,19,5,,,,oley el je tlah f lela belu je kyso. taar yra ji. am deaw je xgf. auin jel ji.,,,,,,,,,0-1,#6495ED,,,,oley el (you) tlah f (time) belu (you) kyso. taar (that) (is). am deaw (you) xgf. auin jel (is).,,,,,,,,
aizsuda,,sj.,,1,blue,NOUN,0,0,1,0,sj. kyin aa toy f zuf z ging.,17,sj. kyin aa toy f (COUNT) z ging.,ai z su da,da su z ai,4,ai,da,7,7,kyin aa toy f zuf z ging.,,,,,,,,,,,,0-1,#6495ED,kyin aa toy f (COUNT) z ging.,,,,,,,,,,,
aizt,,sj.,,1,blue,NOUN,0,0,1,0,sj. tair vzt.,9,sj. tair vzt.,ai z t,t z ai,3,ai,t,2,4,tair vzt.,,,,,,,,,,,,0-1,#6495ED,tair vzt.,,,,,,,,,,,
aje,tomorrow,cj.,,1,orange,pronoun/number/base,0,1,3,0,cj. subtatef je.,,cj. (afterwards) (you).,a je,je a,2,a,je,2,3,,,,,,,,,,subtatef je.,,,>1,#FFA500,,,,,,,,,,(afterwards) (you).,,
aka,,sj.,,1,blue,NOUN,0,0,11,0,sj. akerux ee akcxa.,13,sj. akerux (AND) akcxa.,a ka,ka a,2,a,ka,3,3,akerux ee akcxa.,,,,,,,,,,,,>1,#6495ED,akerux (AND) akcxa.,,,,,,,,,,,
akabk,,sj.,,1,blue,NOUN,0,0,0,0,sj. yre aka l ppsux ji. yre aka el l btebe kap bek ji. aka yk ahk vs aka btebe f zkehu ji.,47,sj. (this) aka l ppsux (is). (this) aka el l btebe (not) bek (is). aka yk ahk (with) aka btebe f zkehu (is).,a ka b k,k b ka a,4,a,k,22,5,yre aka l ppsux ji. yre aka el l btebe kap bek ji. aka yk ahk vs aka btebe f zkehu ji.,,,,,,,,,,,,0-1,#6495ED,(this) aka l ppsux (is). (this) aka el l btebe (not) bek (is). aka yk ahk (with) aka btebe f zkehu (is).,,,,,,,,,,,
akachf,,i.,ISTORY,1,blue,NOUN,0,0,0,0,i. gudda yra ktap hji. lpupl exiex xgin yra dkdg. plahe yre gudda ktap shg. lpupl btebr shg yra dabu. oyr xgin kevin kzin.,73,i. gudda (that) ktap (isn't). lpupl exiex xgin (that) dkdg. plahe (this) gudda ktap shg. lpupl (yourself) shg (that) dabu. oyr xgin kevin kzin.,a ka ch f,f ch ka a,4,a,f,23,6,,,,gudda yra ktap hji. lpupl exiex xgin yra dkdg. plahe yre gudda ktap shg. lpupl btebr shg yra dabu. oyr xgin kevin kzin.,,,,,,,,,0-1,#6495ED,,,,gudda (that) ktap (isn't). lpupl exiex xgin (that) dkdg. plahe (this) gudda ktap shg. lpupl (yourself) shg (that) dabu. oyr xgin kevin kzin.,,,,,,,,
akagata,,sj.,,1,blue,NOUN,0,0,2,0,sj. amti ahk kyv f deda.,17,sj. amti ahk kyv f deda.,a ka ga ta,ta ga ka a,4,a,ta,5,7,amti ahk kyv f deda.,,,,,,,,,,,,>1,#6495ED,amti ahk kyv f deda.,,,,,,,,,,,
akcxa,,sj.,,1,blue,NOUN,0,0,2,0,sj. laf yra cxs kat tael yra ji el yra lqa.,17,sj. (delay) (that) cxs kat tael (that) (is) el (that) lqa.,a k cx a,a cx k a,4,a,a,10,5,laf yra cxs kat tael yra ji el yra lqa.,,,,,,,,,,,,>1,#6495ED,(delay) (that) cxs kat tael (that) (is) el (that) lqa.,,,,,,,,,,,
akerux,,sj.,,1,blue,NOUN,0,0,2,0,sj. laf xeli cxs.,9,sj. (delay) xeli cxs.,a ke r ux,ux r ke a,4,a,ux,3,6,laf xeli cxs.,,,,,,,,,,,,>1,#6495ED,(delay) xeli cxs.,,,,,,,,,,,
akudep,,sj.,,2,orange,pronoun/number/base,1,0,46,1,sj. qvq z guo. k. plu guo rah in dyt.,22,sj. qvq z guo. k. plu guo rah (or) dyt.,a ku de p,p de ku a,4,a,p,8,6,qvq z guo.,plu guo rah in dyt.,,,,,,,,,,,>20,#FFA500,qvq z guo.,plu guo rah (or) dyt.,,,,,,,,,,
akydep,,k.,,1,purple,verb/adverb/article,0,0,23,0,k. plu liuzu z guo akudep.,19,k. plu liuzu z guo akudep.,a k y de p,p de y k a,5,a,p,5,6,,plu liuzu z guo akudep.,,,,,,,,,,,>20,#9370DB,,plu liuzu z guo akudep.,,,,,,,,,,
akyt,,k.,,1,purple,verb/adverb/article,0,0,0,0,k. siuaa subtet ee subtat hji.,1,k. (mixed) (PAST) (AND) (FUTURE) (isn't).,a k y t,t y k a,4,a,t,5,4,,siuaa subtet ee subtat hji.,,,,,,,,,,,0-1,#9370DB,,(mixed) (PAST) (AND) (FUTURE) (isn't).,,,,,,,,,,
alaw,,sj.,,1,blue,NOUN,0,0,3,0,sj. alp kakakaw.,12,sj. alp kakakaw.,a la w,w la a,3,a,w,2,4,alp kakakaw.,,,,,,,,,,,,>1,#6495ED,alp kakakaw.,,,,,,,,,,,
alax,,e.,,1,green,adjective/determiner,0,0,1,0,e. sxuk uxauxf ging aiin.,19,e. sxuk uxauxf ging aiin.,a la x,x la a,3,a,x,4,4,,,sxuk uxauxf ging aiin.,,,,,,,,,,0-1,#228B22,,,sxuk uxauxf ging aiin.,,,,,,,,,
alb,,e.,,1,green,adjective/determiner,0,0,4,0,e. uku alp. vh dku hutl vs def kakauka yra ji.,17,e. uku alp. (at) dku hutl (with) def (unmixed) (that) (is).,a l b,b l a,3,a,b,10,3,,,uku alp. vh dku hutl vs def kakauka yra ji.,,,,,,,,,,>1,#228B22,,,uku alp. (at) dku hutl (with) def (unmixed) (that) (is).,,,,,,,,,
alex,,e.,,1,green,adjective/determiner,0,0,1,0,e. sxzu ging aiin.,13,e. sxzu ging aiin.,a le x,x le a,3,a,x,3,4,,,sxzu ging aiin.,,,,,,,,,,0-1,#228B22,,,sxzu ging aiin.,,,,,,,,,
alfsu,,sj.,,1,blue,NOUN,0,0,1,0,sj. pdepr aga ji ishl.,9,sj. (myself) aga (is) ishl.,a l f su,su f l a,4,a,su,4,5,pdepr aga ji ishl.,,,,,,,,,,,,0-1,#6495ED,(myself) aga (is) ishl.,,,,,,,,,,,
algin,,sj.,,1,blue,NOUN,0,0,1,0,sj. yre alpp. kap lavit am utal. uxaux siuai ykai ehu dkdg.,34,sj. (this) (BIRTH). (not) lavit am utal. uxaux siuai ykai ehu dkdg.,a l g in,in g l a,4,a,in,11,5,yre alpp. kap lavit am utal. uxaux siuai ykai ehu dkdg.,,,,,,,,,,,,0-1,#6495ED,(this) (BIRTH). (not) lavit am utal. uxaux siuai ykai ehu dkdg.,,,,,,,,,,,
alih,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. pdepr hucher kyin.,5,k. (myself) (something/anything) kyin.,a li h,h li a,3,a,h,3,4,,pdepr hucher kyin.,,,,,,,,,,,0-1,#9370DB,,(myself) (something/anything) kyin.,,,,,,,,,,
alip,,e.,,1,green,adjective/determiner,0,0,0,0,e. vs je alp ji.,4,e. (with) (you) alp (is).,a li p,p li a,3,a,p,4,4,,,vs je alp ji.,,,,,,,,,,0-1,#228B22,,,(with) (you) alp (is).,,,,,,,,,
alp,,e.,,1,green,adjective/determiner,0,0,16,0,e. hucher alpu. suba heba in bteb am subb beba in bteb. kakauka vs du ju yra ji.,25,e. (something/anything) alpu. suba (end) (or) bteb am subb (begin) (or) bteb. (unmixed) (with) du (add/mix) (that) (is).,a l p,p l a,3,a,p,17,3,,,hucher alpu. suba heba in bteb am subb beba in bteb. kakauka vs du ju yra ji.,,,,,,,,,,>1,#228B22,,,(something/anything) alpu. suba (end) (or) bteb am subb (begin) (or) bteb. (unmixed) (with) du (add/mix) (that) (is).,,,,,,,,,
alpi,,a.,,1,green,adjective/determiner,0,0,1,0,a. kyin f hgasi alpp.,11,a. kyin f hgasi (BIRTH).,a l p i,i p l a,4,a,i,4,4,,,,,kyin f hgasi alpp.,,,,,,,,0-1,#228B22,,,,,kyin f hgasi (BIRTH).,,,,,,,
alpp,BIRTH,sj.,,1,blue,NOUN,0,0,12,0,sj. 1 vh sxzu subteta f vzt. 2 dust sxzu subteta vzt ji o kadu f sjlup. 3 dust suba kap kyv am subb kyv o kadu f hgasi. 4 vh wax f liuzu.,,sj. 1 (at) sxzu (before) f vzt. 2 dust sxzu (before) vzt (is) o kadu f (place/direction/area). 3 dust suba (not) kyv am subb kyv o kadu f hgasi. 4 (at) wax f liuzu.,a l pp,pp l a,3,a,pp,30,4,1 vh sxzu subteta f vzt. 2 dust sxzu subteta vzt ji o kadu f sjlup. 3 dust suba kap kyv am subb kyv o kadu f hgasi. 4 vh wax f liuzu.,,,,,,,,,,,,>1,#6495ED,1 (at) sxzu (before) f vzt. 2 dust sxzu (before) vzt (is) o kadu f (place/direction/area). 3 dust suba (not) kyv am subb kyv o kadu f hgasi. 4 (at) wax f liuzu.,,,,,,,,,,,
alpu,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. alp yra kyin.,8,k. alp (that) kyin.,a l pu,pu l a,3,a,pu,3,4,,alp yra kyin.,,,,,,,,,,,0-1,#9370DB,,alp (that) kyin.,,,,,,,,,,
aluzui,,sj.,,1,blue,NOUN,0,0,0,0,sj. tata z je xhjra.,12,sj. tata z (you) xhjra.,a lu zu i,i zu lu a,4,a,i,4,6,tata z je xhjra.,,,,,,,,,,,,0-1,#6495ED,tata z (you) xhjra.,,,,,,,,,,,
am,,bu.,,1,tan,conjunction,0,1,115,0,bu. vs subtet fsa ji f subtat deqhm. alp sxresh deqhm.,15,bu. (with) (PAST) fsa (is) f (FUTURE) (WORD). alp sxresh (WORD).,am,am,1,am,,10,2,,,,,,,vs subtet fsa ji f subtat deqhm. alp sxresh deqhm.,,,,,,>20,#D2B48C,,,,,,,(with) (PAST) fsa (is) f (FUTURE) (WORD). alp sxresh (WORD).,,,,,
amaze,,sj.,,1,blue,NOUN,0,0,0,0,sj. plato aiqr f sjlup.,12,sj. plato aiqr f (place/direction/area).,am a z e,e z a am,4,am,e,4,5,plato aiqr f sjlup.,,,,,,,,,,,,0-1,#6495ED,plato aiqr f (place/direction/area).,,,,,,,,,,,
ami,,e.,,1,green,adjective/determiner,0,0,0,0,e. axuax amsht je ji el je in laf ishl.,17,e. axuax amsht (you) (is) el (you) (or) (delay) ishl.,am i,i am,2,am,i,9,3,,,axuax amsht je ji el je in laf ishl.,,,,,,,,,,0-1,#228B22,,,axuax amsht (you) (is) el (you) (or) (delay) ishl.,,,,,,,,,
amka,,k.,,1,purple,verb/adverb/article,0,0,0,0,k. uzuini belu je tacx am vk khjla thg je chsiv.,30,k. uzuini belu (you) tacx am (to/do) khjla thg (you) chsiv.,am ka,ka am,2,am,ka,10,4,,uzuini belu je tacx am vk khjla thg je chsiv.,,,,,,,,,,,0-1,#9370DB,,uzuini belu (you) tacx am (to/do) khjla thg (you) chsiv.,,,,,,,,,,
amsht,,sj.,,1,blue,NOUN,0,0,9,0,sj. vk subt vt alpp f bzui f zuf z vzt.,14,sj. (to/do) (now) vt (BIRTH) f bzui f (COUNT) z vzt.,am sh t,t sh am,3,am,t,10,5,vk subt vt alpp f bzui f zuf z vzt.,,,,,,,,,,,,>1,#6495ED,(to/do) (now) vt (BIRTH) f bzui f (COUNT) z vzt.,,,,,,,,,,,
amtai,,sj.,,1,blue,NOUN,0,0,1,0,sj. suba kysi o qah ubva kadu f yra.,23,sj. suba kysi o qah ubva kadu f (that).,am ta i,i ta am,3,am,i,8,5,suba kysi o qah ubva kadu f yra.,,,,,,,,,,,,0-1,#6495ED,suba kysi o qah ubva kadu f (that).,,,,,,,,,,,
amter,,k.,,1,purple,verb/adverb/article,0,0,0,0,k. ju oraux aoliga.,7,k. (add/mix) (read) aoliga.,am te r,r te am,3,am,r,3,5,,ju oraux aoliga.,,,,,,,,,,,0-1,#9370DB,,(add/mix) (read) aoliga.,,,,,,,,,,
amti,,sj.,,1,blue,NOUN,0,0,1,0,sj. alfsu ahk f yra. akudep ahk kyso f yra.,25,sj. alfsu ahk f (that). akudep ahk kyso f (that).,am t i,i t am,3,am,i,9,4,alfsu ahk f yra. akudep ahk kyso f yra.,,,,,,,,,,,,0-1,#6495ED,alfsu ahk f (that). akudep ahk kyso f (that).,,,,,,,,,,,
amx,,e.,,1,green,adjective/determiner,0,0,3,0,e. rali aoer ee guo hji.,12,e. rali aoer (AND) guo (isn't).,am x,x am,2,am,x,5,3,,,rali aoer ee guo hji.,,,,,,,,,,>1,#228B22,,,rali aoer (AND) guo (isn't).,,,,,,,,,
aoer,,sj.,,1,blue,NOUN,0,0,3,0,sj. yra z guo f lavit lela ahk tky f cxla pdepr z lela.,24,sj. (that) z guo f lavit (time) ahk tky f cxla (myself) z (time).,ao er,er ao,2,ao,er,13,4,yra z guo f lavit lela ahk tky f cxla pdepr z lela.,,,,,,,,,,,,>1,#6495ED,(that) z guo f lavit (time) ahk tky f cxla (myself) z (time).,,,,,,,,,,,
aohh,,bu.,,1,tan,conjunction,0,0,6,0,bu. ju sxresh sxresh kap kaish.,19,bu. (add/mix) sxresh sxresh (not) kaish.,ao hh,hh ao,2,ao,hh,5,4,,,,,,,ju sxresh sxresh kap kaish.,,,,,,>1,#D2B48C,,,,,,,(add/mix) sxresh sxresh (not) kaish.,,,,,
aohj,,sj.,,1,blue,NOUN,0,0,1,0,sj. axuaxf yele vh vzt in sjlup.,15,sj. axuaxf yele (at) vzt (or) (place/direction/area).,ao hj,hj ao,2,ao,hj,6,4,axuaxf yele vh vzt in sjlup.,,,,,,,,,,,,0-1,#6495ED,axuaxf yele (at) vzt (or) (place/direction/area).,,,,,,,,,,,
aohjg,,hh.,,1,green,adjective/determiner,0,0,3,0,hh. 1 vs ju yra sxk erisula yra kadu. 2 dest in dast ju yra kyv o yra kyv.,33,hh. 1 (with) (add/mix) (that) sxk erisula (that) kadu. 2 dest (or) dast (add/mix) (that) kyv o (that) kyv.,ao hj g,g hj ao,3,ao,g,17,5,,,,,,1 vs ju yra sxk erisula yra kadu. 2 dest in dast ju yra kyv o yra kyv.,,,,,,,>1,#228B22,,,,,,1 (with) (add/mix) (that) sxk erisula (that) kadu. 2 dest (or) dast (add/mix) (that) kyv o (that) kyv.,,,,,,
aohucx,,e.,,1,green,adjective/determiner,0,0,3,0,e. uxaux ging shlp.,14,e. uxaux ging shlp.,ao hu cx,cx hu ao,3,ao,cx,3,6,,,uxaux ging shlp.,,,,,,,,,,>1,#228B22,,,uxaux ging shlp.,,,,,,,,,
aohz,,bu.,,1,tan,conjunction,0,0,3,0,bu. dust tair subtet ji o tae ehut subtat ji.,18,bu. dust tair (PAST) (is) o tae ehut (FUTURE) (is).,ao h z,z h ao,3,ao,z,9,4,,,,,,,dust tair subtet ji o tae ehut subtat ji.,,,,,,>1,#D2B48C,,,,,,,dust tair (PAST) (is) o tae ehut (FUTURE) (is).,,,,,
